#t [s],	 res[A],	 res[Q] 
1.45200000000000017941 ,	 0.00008122949632713216 ,	 0.00052277548105518457 
1.45310000000000005826 ,	 0.00008122949632713216 ,	 0.00052277548105518457 
1.45420000000000015916 ,	 0.00008122949632713216 ,	 0.00052277548105518457 
1.45530000000000003801 ,	 0.00008122949632713216 ,	 0.00052277548105518457 
1.45640000000000013891 ,	 0.00008122949632713216 ,	 0.00052277548105518457 
1.45750000000000001776 ,	 0.00008122949632713216 ,	 0.00052277548105518457 
1.45860000000000011866 ,	 0.00008122949632713216 ,	 0.00052277548105518457 
1.45969999999999999751 ,	 0.00008122949632713216 ,	 0.00052277548105518457 
1.46080000000000009841 ,	 0.00008122949632713216 ,	 0.00052277548105518457 
1.46189999999999997726 ,	 0.00008122949632713216 ,	 0.00052277548105518457 
1.46300000000000007816 ,	 0.00008122949632713216 ,	 0.00052277548105518457 
1.46410000000000017906 ,	 0.00008794539636886572 ,	 0.00091391254419472315 
1.46520000000000005791 ,	 0.00008794539636886572 ,	 0.00091391254419472315 
1.46630000000000015881 ,	 0.00008794539636886572 ,	 0.00091391254419472315 
1.46740000000000003766 ,	 0.00008794539636886572 ,	 0.00091391254419472315 
1.46850000000000013856 ,	 0.00008794539636886572 ,	 0.00091391254419472315 
1.46960000000000001741 ,	 0.00008794539636886572 ,	 0.00091391254419472315 
1.47070000000000011831 ,	 0.00008794539636886572 ,	 0.00091391254419472315 
1.47179999999999999716 ,	 0.00008794539636886572 ,	 0.00091391254419472315 
1.47290000000000009805 ,	 0.00008794539636886572 ,	 0.00091391254419472315 
1.47399999999999997691 ,	 0.00008794539636886572 ,	 0.00091391254419472315 
1.47510000000000007780 ,	 0.00008794539636886572 ,	 0.00091391254419472315 
1.47620000000000017870 ,	 0.00008794539636886572 ,	 0.00091391254419472315 
1.47730000000000005755 ,	 0.00008794539636886572 ,	 0.00091391254419472315 
1.47840000000000015845 ,	 0.00008794539636886572 ,	 0.00091391254419472315 
1.47950000000000003730 ,	 0.00008794539636886572 ,	 0.00091391254419472315 
1.48060000000000013820 ,	 0.00008794539636886572 ,	 0.00091391254419472315 
1.48170000000000001705 ,	 0.00008794539636886572 ,	 0.00091391254419472315 
1.48280000000000011795 ,	 0.00008794539636886572 ,	 0.00091391254419472315 
1.48389999999999999680 ,	 0.00008794539636886572 ,	 0.00091391254419472315 
1.48500000000000009770 ,	 0.00008794539636886572 ,	 0.00091391254419472315 
1.48609999999999997655 ,	 0.00008794539636886572 ,	 0.00091391254419472315 
1.48720000000000007745 ,	 0.00008794539636886572 ,	 0.00091391254419472315 
1.48830000000000017835 ,	 0.00009383614488905983 ,	 0.00260998103856865645 
1.48940000000000005720 ,	 0.00009383614488905983 ,	 0.00260998103856865645 
1.49050000000000015810 ,	 0.00009383614488905983 ,	 0.00260998103856865645 
1.49160000000000003695 ,	 0.00009383614488905983 ,	 0.00260998103856865645 
1.49270000000000013785 ,	 0.00009383614488905983 ,	 0.00260998103856865645 
1.49380000000000001670 ,	 0.00009383614488905983 ,	 0.00260998103856865645 
1.49490000000000011759 ,	 0.00009383614488905983 ,	 0.00260998103856865645 
1.49599999999999999645 ,	 0.00009383614488905983 ,	 0.00260998103856865645 
1.49710000000000009734 ,	 0.00009383614488905983 ,	 0.00260998103856865645 
1.49819999999999997620 ,	 0.00009383614488905983 ,	 0.00260998103856865645 
1.49930000000000007709 ,	 0.00009383614488905983 ,	 0.00260998103856865645 
1.50040000000000017799 ,	 0.00009383614488905983 ,	 0.00260998103856865645 
1.50150000000000005684 ,	 0.00009383614488905983 ,	 0.00260998103856865645 
1.50260000000000015774 ,	 0.00009383614488905983 ,	 0.00260998103856865645 
1.50370000000000003659 ,	 0.00009383614488905983 ,	 0.00260998103856865645 
1.50480000000000013749 ,	 0.00009383614488905983 ,	 0.00260998103856865645 
1.50590000000000001634 ,	 0.00009383614488905983 ,	 0.00260998103856865645 
1.50700000000000011724 ,	 0.00009383614488905983 ,	 0.00260998103856865645 
1.50809999999999999609 ,	 0.00009383614488905983 ,	 0.00260998103856865645 
1.50920000000000009699 ,	 0.00009383614488905983 ,	 0.00260998103856865645 
1.51029999999999997584 ,	 0.00009383614488905983 ,	 0.00260998103856865645 
1.51140000000000007674 ,	 0.00009383614488905983 ,	 0.00260998103856865645 
1.51250000000000017764 ,	 0.00004793879361937553 ,	 0.00745263541166038719 
1.51360000000000005649 ,	 0.00004793879361937553 ,	 0.00745263541166038719 
1.51470000000000015739 ,	 0.00004793879361937553 ,	 0.00745263541166038719 
1.51580000000000003624 ,	 0.00004793879361937553 ,	 0.00745263541166038719 
1.51690000000000013713 ,	 0.00004793879361937553 ,	 0.00745263541166038719 
1.51800000000000001599 ,	 0.00004793879361937553 ,	 0.00745263541166038719 
1.51910000000000011688 ,	 0.00004793879361937553 ,	 0.00745263541166038719 
1.52019999999999999574 ,	 0.00004793879361937553 ,	 0.00745263541166038719 
1.52130000000000009663 ,	 0.00004793879361937553 ,	 0.00745263541166038719 
1.52239999999999997549 ,	 0.00004793879361937553 ,	 0.00745263541166038719 
1.52350000000000007638 ,	 0.00004793879361937553 ,	 0.00745263541166038719 
1.52460000000000017728 ,	 0.00004793879361937553 ,	 0.00745263541166038719 
1.52570000000000005613 ,	 0.00004793879361937553 ,	 0.00745263541166038719 
1.52680000000000015703 ,	 0.00004793879361937553 ,	 0.00745263541166038719 
1.52790000000000003588 ,	 0.00004793879361937553 ,	 0.00745263541166038719 
1.52900000000000013678 ,	 0.00004793879361937553 ,	 0.00745263541166038719 
1.53010000000000001563 ,	 0.00004793879361937553 ,	 0.00745263541166038719 
1.53120000000000011653 ,	 0.00004793879361937553 ,	 0.00745263541166038719 
1.53229999999999999538 ,	 0.00004793879361937553 ,	 0.00745263541166038719 
1.53340000000000009628 ,	 0.00004793879361937553 ,	 0.00745263541166038719 
1.53449999999999997513 ,	 0.00004793879361937553 ,	 0.00745263541166038719 
1.53560000000000007603 ,	 0.00004793879361937553 ,	 0.00745263541166038719 
1.53670000000000017693 ,	 0.00004709476937517478 ,	 0.00317123275815038531 
1.53780000000000005578 ,	 0.00004709476937517478 ,	 0.00317123275815038531 
1.53890000000000015667 ,	 0.00004709476937517478 ,	 0.00317123275815038531 
1.54000000000000003553 ,	 0.00004709476937517478 ,	 0.00317123275815038531 
1.54110000000000013642 ,	 0.00004709476937517478 ,	 0.00317123275815038531 
