4.31501899239897568350,	 11.37500000000000000000,	 0.67011039033396313513,	 1.41072569443934336952,	 100000.00000000000000000000,	 0.67778161704447248415,	 0.00767122671050937677,	 1.44320971588727675616,	 8.92142672372769496292,	 6.18165650183615511537,	 41.67270459550762495837,	 1359.68953242115208013274,	 -119.10407378705413350417,	 1378.79597097449868670083,	 -3.81798657360130366811,	 -14.06199189497150747741,	 7.33416197945614900533,	 0.02522246369919363407
4.31501899239897568350,	 11.62500000000000000000,	 0.69550028705681021801,	 1.51965323821832964946,	 100000.00000000000000000000,	 0.70300974065294496995,	 0.00750945359613469903,	 1.55264638927224218889,	 8.86639496973888796560,	 5.71050500036569985696,	 41.47984396612352497868,	 1331.01599446653267477814,	 -109.85919481648150508590,	 1347.32092814613361042575,	 -3.78507725078048462564,	 -15.65269430330426203568,	 8.26525662562753993257,	 0.02287817483615095862
4.31501899239897568350,	 11.87500000000000000000,	 0.72346331352698201034,	 1.64430697486169830057,	 100000.00000000000000000000,	 0.73082463317062940078,	 0.00736131964364732019,	 1.67793922724911981348,	 8.80458432733276197268,	 5.24726055887455888893,	 40.97061937838908107778,	 1304.75993501291122811381,	 -100.22167695460748859659,	 1318.52680669927144663234,	 -3.72374003593480162877,	 -17.42157564205876951746,	 9.33503523643731369930,	 0.02061833402891204842
4.31501899239897568350,	 12.12500000000000000000,	 0.75331092722881876078,	 1.78278268352206903380,	 100000.00000000000000000000,	 0.76053766069403605510,	 0.00722673346521732034,	 1.81715227342948826283,	 8.73603383478492467873,	 4.80754087729671653051,	 40.20994322800191156375,	 1280.90515598922911522095,	 -91.00127108437928313833,	 1292.46138063266857898270,	 -3.64340695002234538080,	 -19.36123030575521752894,	 10.54657856191487752540,	 0.01851783256698454755
4.31501899239897568350,	 12.37500000000000000000,	 0.78430818085443088084,	 1.93251717667357647557,	 100000.00000000000000000000,	 0.79141279065190106579,	 0.00710460979747016500,	 1.96768693777166370218,	 8.66089579747649551678,	 4.40156187004252608119,	 39.27062018726895331611,	 1259.25929947072154391208,	 -82.77673277615789970696,	 1268.94617291862778074574,	 -3.55370727122454566071,	 -21.46374176852557624784,	 11.90171379696850095797,	 0.01662006844696626434
4.31501899239897568350,	 12.62500000000000000000,	 0.81569181914556887492,	 2.09026854867095046586,	 100000.00000000000000000000,	 0.82268504375882411939,	 0.00699322461325523059,	 2.12626346400586196950,	 8.57944512860824914924,	 4.03498685550691327251,	 38.22667116004205922764,	 1239.51678960115009431320,	 -75.88592477633918065294,	 1247.65734906320676600444,	 -3.46352916052596615515,	 -23.72126557820944015020,	 13.40192231695254498902,	 0.01494351806588676418
4.31501899239897568350,	 12.87500000000000000000,	 0.84668907277118088395,	 2.25215243718882618396,	 100000.00000000000000000000,	 0.85357961232716761391,	 0.00689053955598666057,	 2.28895860984948651407,	 8.49206991016825618601,	 3.71001462133326365134,	 37.14804375604038000347,	 1221.31633708255208148330,	 -70.46667534549334277472,	 1228.19844132780531253957,	 -3.38052475936050411676,	 -26.12642955795886479109,	 15.04930386153890253809,	 0.01348904284529874216
4.31501899239897568350,	 13.12500000000000000000,	 0.87653668647301785644,	 2.41373766911366161025,	 100000.00000000000000000000,	 0.88333112826518744853,	 0.00679444179216951317,	 2.45130269598890926375,	 8.39924787723788845994,	 3.42644255684198473233,	 36.09719103791722005781,	 1204.28345192840333766071,	 -66.52246672345219735689,	 1210.15370622607224504463,	 -3.31099736856894510950,	 -28.67255833041283352713,	 16.84743861944453868773,	 0.01224642190973595189
4.31501899239897568350,	 13.37500000000000000000,	 0.90449971294318953774,	 2.57019893576894364884,	 100000.00000000000000000000,	 0.91120259608518994199,	 0.00670288314200035741,	 2.60843350191449641073,	 8.30151516941215028567,	 3.18256730076466842760,	 35.12755339742363247524,	 1188.05510372082585490716,	 -63.99025027889545214066,	 1193.11947103277407222777,	 -3.26005427541405268244,	 -31.35376596426470641177,	 18.80206569054177023759,	 0.01119947466804926267
4.31501899239897568350,	 13.62500000000000000000,	 0.92988960966603662062,	 2.71651847365363741105,	 100000.00000000000000000000,	 0.93650353829492616331,	 0.00661392862888954009,	 2.75529889364642022187,	 8.19943287222868200104,	 2.97587782259709054955,	 34.28366813538611523882,	 1172.28832678895560093224,	 -62.79713212258612031746,	 1176.71625119646819257468,	 -3.23191074783473286658,	 -34.16498341003744343425,	 20.92159241372143085869,	 0.01032970491250988568
4.31501899239897568350,	 13.87500000000000000000,	 0.95208119312000594192,	 2.84772367318000663161,	 100000.00000000000000000000,	 0.95860692882290532424,	 0.00652573570289931553,	 2.88689507889396246298,	 8.09355460640776414039,	 2.80354996812305179432,	 33.60249325837870770783,	 1156.65653765953288711898,	 -62.90229217369007130856,	 1160.58648387141420244006,	 -3.23026020104614497441,	 -37.10199811753109599977,	 23.21753782683828504219,	 0.00961868159862065177
4.31501899239897568350,	 14.12500000000000000000,	 0.97052803287081845784,	 2.95914360022182121313,	 100000.00000000000000000000,	 0.97696451740957956922,	 0.00643648453876116081,	 2.99852348200781992915,	 7.98439590409120469872,	 2.66277584684607182552,	 33.11554251523695313608,	 1140.83718070211057238339,	 -64.32711600159700537915,	 1144.38236830738401295093,	 -3.25866086415174160962,	 -40.16158797485002196481,	 25.70508570790698144037,	 0.00904946163578102675
4.31501899239897568350,	 14.37500000000000000000,	 0.98477590650225732549,	 3.04666498943546493194,	 100000.00000000000000000000,	 0.99112017876121760729,	 0.00634427225896035032,	 3.08604680968181277478,	 7.87240418567709809849,	 2.55096719887044853792,	 32.85153779181896993578,	 1124.49297965873438442941,	 -67.17919848098767943156,	 1127.74669648359076745692,	 -3.32091949407386577420,	 -43.34183765871946292236,	 28.40398631271331808534,	 0.00860734567683919469
4.31501899239897568350,	 14.62500000000000000000,	 0.99447398407953535582,	 3.10696760590084908316,	 100000.00000000000000000000,	 1.00072095959822626732,	 0.00624697551869087420,	 3.14612420929008296255,	 7.75792983051265050420,	 2.46586889595920100149,	 32.83944724789605373871,	 1107.24758146161684635445,	 -71.66321439607303034336,	 1110.28783616764644648356,	 -3.42147463057826595190,	 -46.64271984894230627106,	 31.34010186465267722156,	 0.00828020357189024163
4.31501899239897568350,	 14.87500000000000000000,	 0.99938346674662559277,	 3.13772005507180518080,	 100000.00000000000000000000,	 1.00552558081015686042,	 0.00614211406353135959,	 3.17640682099270232897,	 7.64125803389584579151,	 2.40562952559954901233,	 33.11198560277836122623,	 1088.66137246069774846546,	 -77.81216860199640450446,	 1091.55489916791589166678,	 -3.56579197348599841177,	 -50.06657823760484404829,	 34.54747797672688136572,	 0.00805860211190921431
4.31501899239897568350,	 15.12500000000000000000,	 0.99999999999999988898,	 3.14159265358979311600,	 100000.00000000000000000000,	 1.00602747144369830679,	 0.00602747144369835883,	 3.17957850895973859195,	 7.52387257523898345113,	 2.36631130636889519536,	 33.66891867651740000156,	 1068.34149716061870094563,	 -84.13627002283870126575,	 1071.14121175994341683690,	 -3.75378169450865195600,	 -53.60860461476433869166,	 38.05967010441612785598,	 0.00792491273011569283
4.31501899239897568350,	 15.37500000000000000000,	 0.99999999999999988898,	 3.14159265358979311600,	 100000.00000000000000000000,	 1.00590477002780409599,	 0.00590477002780412461,	 3.17880295361123366149,	 7.41180752773315276727,	 2.33163478073187091510,	 34.30396343762977551251,	 1046.59323744927837651630,	 -88.39654597597515817142,	 1049.31149782463762676343,	 -3.94855735420807762992,	 -57.22190643706975521354,	 41.86434249806691809681,	 0.00780925529774266925
4.31501899239897568350,	 15.62500000000000000000,	 0.99999999999999988898,	 3.14159265358979311600,	 100000.00000000000000000000,	 1.00577810939139200563,	 0.00577810939139215655,	 3.17800247255542656077,	 7.30076573046472621087,	 2.29728132482986779905,	 34.97613529915039265461,	 1024.14322417263110764907,	 -90.81654104437667740513,	 1026.78197491533705942857,	 -4.14328457660919990957,	 -60.93408441886432314050,	 46.01828744445363383875,	 0.00769468104157178343
