3.75219042817302295134,	 13.62500000000000000000,	 0.92988960966603662062,	 2.71651847365363741105,	 100000.00000000000000000000,	 0.93022593430064748343,	 0.00033632463461079039,	 2.71848386243925999040,	 0.18063773026533450072,	 0.06644796857585559546,	 16.24545754811195408251,	 59.61198937702197042654,	 1.82913870936665068356,	 59.61419704328589830311,	 -1.63994062423505315707,	 -771.19177460491175679635,	 8308.72191405884223058820,	 0.00023142752797373838
3.75219042817302295134,	 13.87500000000000000000,	 0.95208119312000594192,	 2.84772367318000663161,	 100000.00000000000000000000,	 0.95241970983839252529,	 0.00033851671838655984,	 2.84974907491528695047,	 0.18344186598442746572,	 0.06437123450592945051,	 15.93910947446948433992,	 60.00052611000418067988,	 1.21258492492477309987,	 60.00259793792008622404,	 -1.59321405230924706409,	 -791.84138154366235085035,	 8627.57628810195637925062,	 0.00022156705262065552
3.75219042817302295134,	 14.12500000000000000000,	 0.97052803287081845784,	 2.95914360022182121313,	 100000.00000000000000000000,	 0.97086777814434821465,	 0.00033974527352980939,	 2.96121573206400379163,	 0.18620974485636887508,	 0.06288287031575993946,	 15.72672103637849083668,	 60.21828183948435508910,	 0.46673496139665487936,	 60.22025896717392612345,	 -1.56491432121513307507,	 -811.60707688971695006330,	 8924.30241404375374258962,	 0.00021437781634323303
3.75219042817302295134,	 14.37500000000000000000,	 0.98477590650225732549,	 3.04666498943546493194,	 100000.00000000000000000000,	 0.98511573985566136535,	 0.00033983335340403086,	 3.04876808114917263737,	 0.18892202287717960174,	 0.06196667566985587100,	 15.61995319079791144645,	 60.23389359070250748118,	 -0.41001710951032999120,	 60.23581352514929676545,	 -1.55540102493155552033,	 -830.61347132128719294997,	 9203.41835391362837981433,	 0.00020972108637781582
3.75219042817302295134,	 14.62500000000000000000,	 0.99447398407953535582,	 3.10696760590084908316,	 100000.00000000000000000000,	 0.99481257271615375348,	 0.00033858863661837761,	 3.10908362507695468224,	 0.19154317817098445720,	 0.06160759930226819558,	 15.63019353360532903707,	 60.01327328472919475644,	 -1.43537619554910422792,	 60.01517103287508803078,	 -1.56537340194999807785,	 -849.08752374703715304349,	 9472.11353250576576101594,	 0.00020748713917910231
3.75219042817302295134,	 14.87500000000000000000,	 0.99938346674662559277,	 3.13772005507180518080,	 100000.00000000000000000000,	 0.99971925097853953091,	 0.00033578423191390664,	 3.13982890308352180497,	 0.19403380273298068137,	 0.06179757200859783278,	 15.76983391621021723950,	 59.51620549292795203655,	 -2.58816178185809686596,	 59.51811496288102887320,	 -1.59601405854543876295,	 -867.30307281268767383153,	 9739.05784667143052502070,	 0.00020761556727188639
3.75219042817302295134,	 15.12500000000000000000,	 0.99999999999999988898,	 3.14159265358979311600,	 100000.00000000000000000000,	 1.00033128756702915929,	 0.00033128756702929357,	 3.14367453955775788543,	 0.19658764456217658889,	 0.06253435019702513475,	 16.03387999103742700413,	 58.71919239380014232665,	 -3.57436689134903273768,	 58.72114766627742454830,	 -1.64606191395267131838,	 -884.50217925029653542879,	 9990.36868068549483723473,	 0.00021002657238541168
3.75219042817302295134,	 15.37500000000000000000,	 0.99999999999999988898,	 3.14159265358979311600,	 100000.00000000000000000000,	 1.00032570112907448490,	 0.00032570112907462449,	 3.14363942740252522157,	 0.20021988371113419447,	 0.06369047352118514804,	 16.31726550500394168353,	 57.72902204725343722203,	 -4.06098806001265000276,	 57.73105028546211059393,	 -1.69864100228912873192,	 -896.18172205071937241883,	 10127.80082362931170791853,	 0.00021391010151899716
3.75219042817302295134,	 15.62500000000000000000,	 0.99999999999999988898,	 3.14159265358979311600,	 100000.00000000000000000000,	 1.00031983173121741260,	 0.00031983173121745699,	 3.14360253698500002884,	 0.20408517337562137595,	 0.06492079420808635759,	 16.60149284788844425975,	 56.68869836379381865754,	 -4.20141214493221148985,	 56.69080571855412387094,	 -1.75088523604846213466,	 -906.23381878881423290295,	 10237.85724790399399353191,	 0.00021804288229741674
3.75219042817302295134,	 15.87500000000000000000,	 0.99999999999999988898,	 3.14159265358979311600,	 100000.00000000000000000000,	 1.00031384916423271569,	 0.00031384916423278210,	 3.14356493549812476829,	 0.20794270682605237033,	 0.06614869140379378565,	 16.88639858931367854211,	 55.62831597478733414164,	 -4.27585873734102683841,	 55.63050379947455326146,	 -1.80279223220787621074,	 -915.77383777135821674165,	 10344.93198766233399510384,	 0.00022216756033649522
