150000, 	 500, 	 0.30, 	 1750, 	 0.00000100000000000000, 	 -0.36696742570597939981, 	 0.35679568191556126910, 	 0.29009533687336030994, 	 0.31598886978109103074
150000, 	 500, 	 0.30, 	 1800, 	 0.00001000000000000000, 	 -0.23082649669242893964, 	 0.34101146151286909625, 	 0.27439429589857944336, 	 0.29986561984915277579
150000, 	 500, 	 0.30, 	 1800, 	 0.00000100000000000000, 	 -0.24774120232504737160, 	 0.34516481595428916140, 	 0.27551149506716843263, 	 0.30195482446366200824
150000, 	 500, 	 0.36, 	 1700, 	 0.00001000000000000000, 	 0.46689982730964785240, 	 0.22858100470515360647, 	 0.18229946742407110438, 	 0.19740373398697788621
150000, 	 500, 	 0.36, 	 1700, 	 0.00000100000000000000, 	 0.45519668513338262805, 	 0.23286133183719079365, 	 0.18364314311646226519, 	 0.19957955521550113653
150000, 	 500, 	 0.36, 	 1750, 	 0.00001000000000000000, 	 0.55070063289655379890, 	 0.21467265600337828713, 	 0.16656702180848309558, 	 0.18127408665595759474
150000, 	 500, 	 0.36, 	 1750, 	 0.00000100000000000000, 	 0.53835008524802452357, 	 0.21918181228005781391, 	 0.16818144239340623858, 	 0.18376064283857759807
150000, 	 500, 	 0.36, 	 1800, 	 0.00001000000000000000, 	 0.62322276011739818902, 	 0.20101831543045162176, 	 0.15158118365264536265, 	 0.16602530076459462438
150000, 	 500, 	 0.36, 	 1800, 	 0.00000100000000000000, 	 0.61026086654937417020, 	 0.20582091064249047330, 	 0.15344195163677917804, 	 0.16885828211908934793
150000, 	 500, 	 0.40, 	 1700, 	 0.00001000000000000000, 	 0.82036404352813996343, 	 0.13802538851972379064, 	 0.10689741113761895563, 	 0.11463271728615112566
150000, 	 500, 	 0.40, 	 1700, 	 0.00000100000000000000, 	 0.81260292237641684743, 	 0.14261171289100024739, 	 0.10858636972539449650, 	 0.11707470669101549543
150000, 	 500, 	 0.40, 	 1750, 	 0.00001000000000000000, 	 0.86414295134139729182, 	 0.12319138049964627191, 	 0.09156096965158412593, 	 0.09961546759940761997
150000, 	 500, 	 0.40, 	 1750, 	 0.00000100000000000000, 	 0.85594958325552883416, 	 0.12803991494184499556, 	 0.09353129409094063096, 	 0.10255167882981915117
150000, 	 500, 	 0.40, 	 1800, 	 0.00001000000000000000, 	 0.89497909434009048635, 	 0.10855722661433783727, 	 0.07755456861830438420, 	 0.08739153769030244545
150000, 	 500, 	 0.40, 	 1800, 	 0.00000100000000000000, 	 0.88634363098316770735, 	 0.11366080109369905426, 	 0.07982755897056223460, 	 0.09088019106838425565
