t	Pre-Clamp(Aorta raw)	Post-Clamp
6.55	104.194	75.0324
6.56	103.493	74.4731
6.57	102.494	73.9212
6.58	101.151	73.6303
6.59	99.6449	73.1604
6.60	97.8176	72.8322
6.61	95.7591	72.3549
6.62	93.2233	72.0044
6.63	90.5234	71.5494
6.64	87.5475	71.2362
6.65	84.7208	70.7066
6.66	82.0656	70.2442
6.67	79.7386	69.737
6.68	77.7174	69.3343
6.69	76.1437	68.7302
6.70	74.8311	68.2155
6.71	73.7422	67.5667
6.72	72.6905	67.0446
6.73	71.9447	66.433
6.74	71.2138	65.9109
6.75	70.7588	65.3814
6.76	70.2517	65.1651
6.77	69.7967	65.1353
6.78	69.3119	66.0079
6.79	68.9837	67.7755
6.80	68.4915	71.1317
6.81	68.1857	75.9498
6.82	67.7084	82.3043
6.83	67.4921	89.688
6.84	66.9849	97.6535
6.85	66.612	105.626
6.86	66.1869	113.488
6.87	65.8811	120.349
6.88	65.3814	126.525
6.89	64.9563	131.373
6.90	64.4043	135.191
6.91	63.9568	137.794
6.92	63.4273	139.368
6.93	62.9873	139.748
6.94	62.4876	139.428
6.95	62.1519	138.339
6.96	61.9804	136.78
6.97	62.2116	134.759
6.98	63.1215	132.544
6.99	65.0458	129.978
7.00	67.8948	127.367
7.01	71.9745	124.407
7.02	76.4495	121.349
7.03	81.4317	117.948
7.04	86.1975	114.315
7.05	90.6502	110.154
7.06	94.4688	105.873
7.07	97.7878	101.316
7.08	100.51	97.0494
7.09	102.74	92.8727
7.10	104.306	89.248
7.11	105.395	85.9962
7.12	105.805	83.3559
7.13	105.984	81.014
7.14	105.403	79.1494
7.15	104.635	77.6429
7.16	103.493	76.3973
7.17	102.33	75.4427
7.18	100.711	74.7565
7.19	99.0035	74.13
7.20	96.8257	73.7198
7.21	94.3047	73.3319
7.22	91.4407	73.0858
7.23	88.6588	72.6383
7.24	85.7873	72.4444
7.25	83.341	72.0044
7.26	81.0513	71.6613
7.27	79.3434	71.1243
7.28	77.8964	70.6544
7.29	76.815	70.1249
7.30	75.7708	69.6177
7.31	74.9952	69.0509
7.32	74.1002	68.5735
7.33	73.2574	67.9992
7.34	72.4146	67.5145
7.35	71.6986	66.7761
7.36	70.8782	66.2689
7.37	70.1696	65.6723
7.38	69.3865	65.277
7.39	68.7824	65.0458
7.40	68.1335	65.6424
7.41	67.5517	66.9775
7.42	66.9924	69.8042
7.43	66.5225	74.0405
7.44	66.075	79.94
7.45	65.6499	86.9508
7.46	65.262	94.8865
7.47	64.9413	102.934
7.48	64.4416	110.996
7.49	64.0613	118.321
7.50	63.5839	124.966
7.51	63.308	130.582
7.52	62.7933	135.005
7.53	62.5621	138.272
7.54	62.5472	140.434
7.55	63.0246	141.389
7.56	64.1657	141.658
7.57	66.5374	140.986
7.58	69.9235	139.875
7.59	74.4358	138.025
7.60	79.4478	136.116
7.61	84.6984	133.744
7.62	89.6508	131.402
7.63	94.26	128.658
7.64	98.0041	126.003
7.65	101.278	122.855
7.66	103.859	119.506
7.67	106.111	115.874
7.68	107.707	111.847
7.69	108.856	107.491
7.70	109.363	103.27
7.71	109.423	98.8469
7.72	108.848	94.8044
7.73	107.961	91.038
7.74	106.723	87.719
7.75	105.492	84.8551
7.76	103.926	82.4535
7.77	102.293	80.3353
7.78	100.212	78.7318
7.79	97.7952	77.4862
7.80	95.0431	76.5987
7.81	92.1418	75.7783
7.82	89.0466	75.204
7.83	86.2423	74.5849
7.84	83.7661	74.1971
7.85	81.7076	73.7571
7.86	79.9549	73.4737
7.87	78.5901	73.0187
7.88	77.4116	72.7054
7.89	76.3451	72.3698
7.90	75.3084	72.0566
7.91	74.3761	71.5792
7.92	73.496	71.2362
7.93	72.7054	70.6992
7.94	71.9596	70.3635
7.95	71.445	69.7967
7.96	70.9005	69.3492
7.97	70.4307	68.7749
7.98	69.9086	68.3498
7.99	69.558	67.768
8.00	69.021	67.3877
8.01	68.5735	67.1565
8.02	68.0216	67.5145
8.03	67.6711	68.6332
8.04	67.149	71.266
8.05	66.7388	75.1592
8.06	66.2167	80.9394
8.07	65.7618	87.8533
8.08	65.1502	95.871
8.09	64.725	104.023
8.10	64.3521	112.205
8.11	64.106	119.775
8.12	64.0911	126.644
8.13	64.9115	132.335
8.14	66.4479	137.198
8.15	69.2821	140.613
8.16	73.2126	143.015
8.17	78.2097	144.246
8.18	83.4902	144.678
8.19	88.808	144.246
8.20	93.6708	143.351
8.21	98.1234	141.777
8.22	101.793	139.994
8.23	104.948	137.779
8.24	107.618	135.534
8.25	109.803	132.931
8.26	111.302	130.41
8.27	112.339	127.39
8.28	112.615	124.272
8.29	112.563	120.782
8.30	111.914	116.993
8.31	111.205	112.943
8.32	110.116	108.707
8.33	108.856	104.284
8.34	107.424	100.16
8.35	105.828	96.2141
8.36	103.754	92.6863
8.37	101.524	89.4867
8.38	98.8394	86.8837
8.39	95.9754	84.6238
8.40	92.8131	82.804
8.41	89.9267	81.2303
8.42	87.1522	80.1041
8.43	84.8551	79.1494
8.44	82.9084	78.508
8.45	81.4913	77.8666
8.46	80.119	77.3296
8.47	78.9555	76.8448
8.48	77.7473	76.4421
8.49	76.7255	75.9573
8.50	75.7932	75.5769
8.51	74.9504	75.0996
8.52	74.309	74.6595
8.53	73.7347	74.1747
8.54	73.1828	73.7422
8.55	72.6905	73.1977
8.56	72.1834	72.7054
8.57	71.7657	72.0939
8.58	71.266	71.624
8.59	70.8558	70.9975
8.60	70.371	70.55
8.61	69.916	69.9906
8.62	69.3567	69.5953
8.63	68.9465	69.3417
8.64	68.3796	69.7072
8.65	67.8725	70.9304
8.66	67.3728	73.5408
8.67	67.0297	77.7398
8.68	66.5971	83.5424
8.69	66.2465	90.6576
8.70	66.3808	98.8394
8.71	67.2161	107.334
8.72	68.9465	115.785
8.73	72.1013	123.482
8.74	76.36	130.537
8.75	81.6181	136.295
8.76	87.2193	141.143
8.77	92.8131	144.589
8.78	97.7803	147.02
8.79	102.278	148.251
8.80	106.149	148.661
8.81	109.453	148.184
8.82	112.138	147.035
8.83	114.315	145.446
8.84	115.673	143.627
8.85	116.553	141.441
8.86	116.941	139.196
8.87	116.889	136.661
8.88	116.374	134.125
8.89	115.829	131.335
