#t [s],	 res[A],	 res[Q] 
6.62640000000000028990 ,	 0.00004442940446176321 ,	 0.00090357431117298070 
6.62750000000000039080 ,	 0.00004442940446176321 ,	 0.00090357431117298070 
6.62860000000000049170 ,	 0.00004442940446176321 ,	 0.00090357431117298070 
6.62970000000000059259 ,	 0.00004442940446176321 ,	 0.00090357431117298070 
6.63080000000000069349 ,	 0.00004442940446176321 ,	 0.00090357431117298070 
6.63189999999999990621 ,	 0.00004442940446176321 ,	 0.00090357431117298070 
6.63300000000000000711 ,	 0.00004442940446176321 ,	 0.00090357431117298070 
6.63410000000000010800 ,	 0.00004442940446176321 ,	 0.00090357431117298070 
6.63520000000000020890 ,	 0.00003821423129166441 ,	 0.00198597065127327542 
6.63630000000000030980 ,	 0.00003821423129166441 ,	 0.00198597065127327542 
6.63740000000000041069 ,	 0.00003821423129166441 ,	 0.00198597065127327542 
6.63850000000000051159 ,	 0.00003821423129166441 ,	 0.00198597065127327542 
6.63960000000000061249 ,	 0.00003821423129166441 ,	 0.00198597065127327542 
6.64070000000000071338 ,	 0.00003821423129166441 ,	 0.00198597065127327542 
6.64179999999999992610 ,	 0.00003821423129166441 ,	 0.00198597065127327542 
6.64290000000000002700 ,	 0.00003821423129166441 ,	 0.00198597065127327542 
6.64400000000000012790 ,	 0.00003821423129166441 ,	 0.00198597065127327542 
6.64510000000000022879 ,	 0.00003821423129166441 ,	 0.00198597065127327542 
6.64620000000000032969 ,	 0.00003821423129166441 ,	 0.00198597065127327542 
6.64730000000000043059 ,	 0.00003821423129166441 ,	 0.00198597065127327542 
6.64840000000000053149 ,	 0.00003821423129166441 ,	 0.00198597065127327542 
6.64950000000000063238 ,	 0.00003821423129166441 ,	 0.00198597065127327542 
6.65060000000000073328 ,	 0.00003821423129166441 ,	 0.00198597065127327542 
6.65169999999999994600 ,	 0.00003821423129166441 ,	 0.00198597065127327542 
6.65280000000000004690 ,	 0.00003821423129166441 ,	 0.00198597065127327542 
6.65390000000000014779 ,	 0.00003821423129166441 ,	 0.00198597065127327542 
6.65500000000000024869 ,	 0.00003821423129166441 ,	 0.00198597065127327542 
6.65610000000000034959 ,	 0.00003821423129166441 ,	 0.00198597065127327542 
